batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
4,2000,sigmoid,0.25,rmsprop,-0.23226509040253962
2,2000,sigmoid,0.15,rmsprop,-0.2323849674840352
8,2000,relu,0.1,sgd,-0.23240144747745106
4,2000,relu,0.2,adamax,-0.2325612493881624
8,2000,relu,0.25,rmsprop,-0.2326022637290554
16,2000,sigmoid,0.1,rmsprop,-0.23261196259259675
2,2000,softplus,0.2,adam,-0.232816357020215
8,2000,relu,0.2,sgd,-0.2333068860052084
2,2000,sigmoid,0.15,adam,-0.23333250291989682
2,2000,elu,0.25,adam,-0.23356012448634964
2,2000,sigmoid,0.2,adamax,-0.2335747100796659
4,2000,softplus,0.25,adam,-0.2337051579528297
2,2000,sigmoid,0.1,adamax,-0.23373480367765528
2,2000,softplus,0.25,adamax,-0.23395530012555296
32,2000,tanh,0.1,adamax,-0.23407075410992045
2,2000,sigmoid,0.05,rmsprop,-0.23428636331110225
8,2000,softplus,0.2,adam,-0.23434239817922475
8,2000,sigmoid,0.15,rmsprop,-0.2344535174462125
8,2000,sigmoid,0.15,adam,-0.23463725338747055
8,2000,sigmoid,0.25,rmsprop,-0.23464096359312958
2,2000,softplus,0.1,rmsprop,-0.23467128277187105
32,2000,relu,0.15,rmsprop,-0.23482400361509287
32,2000,tanh,0.15,adamax,-0.23514118689263186
8,2000,softplus,0.15,adam,-0.23523972462199777
16,2000,elu,0.05,sgd,-0.23526821189509145
2,2000,softplus,0.1,adamax,-0.23532725086139983
4,2000,softplus,0.2,rmsprop,-0.2354067402363063
16,2000,relu,0.25,rmsprop,-0.23545396139511754
4,2000,sigmoid,0.2,rmsprop,-0.2355208913331868
16,2000,elu,0.15,sgd,-0.2356441335117992
8,2000,sigmoid,0.2,adam,-0.23574740939535932
8,2000,softplus,0.25,rmsprop,-0.236204343198564
16,2000,relu,0.25,adamax,-0.23642899649927862
16,2000,softplus,0.15,rmsprop,-0.23649176160088414
8,2000,softplus,0.1,adam,-0.23680347840946145
8,2000,sigmoid,0.2,rmsprop,-0.23691884338621716
8,2000,relu,0.15,sgd,-0.23708151082710138
16,2000,elu,0.1,sgd,-0.2371041501853609
2,2000,sigmoid,0.25,adamax,-0.23715528693598537
16,2000,elu,0.1,adamax,-0.23721879536755242
2,2000,sigmoid,0.25,rmsprop,-0.2376182905871513
16,2000,relu,0.25,sgd,-0.23762530457662828
8,2000,relu,0.05,sgd,-0.23802020281490033
4,2000,sigmoid,0.15,adamax,-0.23923482740196966
4,2000,relu,0.1,sgd,-0.23943894342180896
2,2000,sigmoid,0.15,adamax,-0.23960637599544402
8,2000,sigmoid,0.05,adam,-0.2396959511941345
32,2000,elu,0.25,adamax,-0.2400123218079872
4,2000,softplus,0.1,rmsprop,-0.24031774315597315
16,2000,softplus,0.1,adam,-0.2405759694454962
4,2000,relu,0.15,adamax,-0.24119373919793952
2,2000,softplus,0.2,rmsprop,-0.24132574113983646
4,2000,sigmoid,0.05,adamax,-0.24141656885609503
32,2000,elu,0.2,adamax,-0.24141877588286625
32,2000,elu,0.05,sgd,-0.24158422071043306
16,2000,relu,0.05,sgd,-0.24168694623134657
2,2000,relu,0.2,rmsprop,-0.2417002879300985
2,2000,softplus,0.05,sgd,-0.24193465946872827
8,2000,sigmoid,0.1,adam,-0.24197088139895984
4,2000,tanh,0.25,adam,-0.24202237235932578
8,2000,softplus,0.05,adamax,-0.24225936642396387
16,2000,softplus,0.05,rmsprop,-0.2426260847417746
32,2000,tanh,0.25,adamax,-0.2430496898609392
16,2000,softplus,0.2,adam,-0.2432035027393291
4,2000,relu,0.15,rmsprop,-0.2432085840722481
32,2000,tanh,0.2,adamax,-0.243311912955756
32,2000,tanh,0.25,sgd,-0.2434155847830602
32,2000,softplus,0.05,adamax,-0.24375273998676927
32,2000,elu,0.2,sgd,-0.24381963972003273
4,2000,sigmoid,0.1,adam,-0.24396682877800768
2,2000,selu,0.05,adam,-0.24402824928712638
32,2000,tanh,0.05,sgd,-0.24417597135652808
32,2000,elu,0.15,sgd,-0.24428578763336234
8,2000,sigmoid,0.05,adamax,-0.24449990242608446
8,2000,softplus,0.2,rmsprop,-0.2445206205488154
8,2000,relu,0.2,rmsprop,-0.2445352369852239
32,2000,softplus,0.05,rmsprop,-0.24457121721462638
2,2000,selu,0.15,adamax,-0.24461692530792756
16,2000,softplus,0.05,adamax,-0.24462067890164652
4,2000,softplus,0.05,rmsprop,-0.24478320690482858
4,2000,softplus,0.25,rmsprop,-0.24487256497420617
32,2000,elu,0.25,sgd,-0.24487700633715676
16,2000,softplus,0.15,adam,-0.2454168783872625
32,2000,softplus,0.1,rmsprop,-0.24543466325295576
2,2000,relu,0.1,adamax,-0.24555486532672688
32,2000,relu,0.25,rmsprop,-0.24572750911787677
32,2000,tanh,0.15,sgd,-0.24574979271366987
2,2000,relu,0.2,adam,-0.24575318712832434
16,2000,softplus,0.25,rmsprop,-0.24580008108220286
16,2000,sigmoid,0.05,adamax,-0.24588960229783524
4,2000,sigmoid,0.1,adamax,-0.24608082873903414
4,2000,relu,0.2,rmsprop,-0.24611661421320302
2,2000,softplus,0.05,rmsprop,-0.24640938283108874
2,2000,relu,0.05,adamax,-0.2465085381319167
32,2000,softplus,0.05,adam,-0.24667552063073894
32,2000,sigmoid,0.05,adamax,-0.24672657995164438
16,2000,softplus,0.2,rmsprop,-0.24672967581039107
32,2000,sigmoid,0.05,rmsprop,-0.2470358267629903
4,2000,softplus,0.25,adamax,-0.2470537366825915
32,2000,tanh,0.1,sgd,-0.24743401715606755
16,2000,sigmoid,0.15,rmsprop,-0.24743577179108156
8,2000,relu,0.15,rmsprop,-0.2474918821397229
16,2000,softplus,0.05,adam,-0.24763330340689396
