batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
16,10,tanh,0.1,adamax,-0.7478762082109607
16,10,elu,0.1,adamax,-0.7491296639083183
16,10,softplus,0.25,rmsprop,-0.7492370496228837
16,10,tanh,0.25,rmsprop,-0.7530446907783825
8,10,relu,0.1,adam,-0.7535096923031763
16,10,softplus,0.05,adam,-0.7538393632067301
32,10,softplus,0.15,rmsprop,-0.7559323970060268
32,10,selu,0.1,adamax,-0.756006826289831
16,10,tanh,0.15,adam,-0.7596048856426111
32,10,tanh,0.1,rmsprop,-0.7605767767116733
8,10,relu,0.05,rmsprop,-0.762139426344338
16,10,relu,0.25,adamax,-0.7622349262995346
8,10,sigmoid,0.25,rmsprop,-0.7654611951724242
16,10,elu,0.2,adamax,-0.7667872284728356
32,10,sigmoid,0.05,rmsprop,-0.7679926987184396
32,10,softplus,0.1,adamax,-0.7707406630431973
16,10,relu,0.2,adamax,-0.7717021899665018
32,10,elu,0.1,adamax,-0.7730960657069348
32,10,tanh,0.15,adamax,-0.7749605121543375
32,10,tanh,0.2,rmsprop,-0.7762223320114906
16,10,relu,0.2,rmsprop,-0.7762428117315778
16,10,elu,0.15,adamax,-0.7777339544695021
16,10,tanh,0.15,adamax,-0.7830936323448674
32,10,sigmoid,0.05,adamax,-0.7830968559007958
16,10,tanh,0.05,adamax,-0.7846271618852789
16,10,softplus,0.2,adamax,-0.7885266557570668
32,10,selu,0.05,adam,-0.7895812014125667
16,10,tanh,0.2,adam,-0.7904144215302698
16,10,relu,0.15,adamax,-0.7934580969473093
16,10,elu,0.25,adam,-0.7939772670976084
32,10,selu,0.2,rmsprop,-0.7944259461433029
16,10,tanh,0.25,adam,-0.7952316371648924
32,10,sigmoid,0.1,rmsprop,-0.7960625272717488
32,10,elu,0.25,rmsprop,-0.7963225320116574
16,10,relu,0.1,adamax,-0.7963234597654094
16,10,elu,0.2,adam,-0.796356757113005
32,10,tanh,0.05,rmsprop,-0.7980494427639003
32,10,tanh,0.2,adam,-0.7999047975390084
32,10,tanh,0.1,adam,-0.803748814176176
32,10,tanh,0.2,adamax,-0.8087009945847453
32,10,elu,0.1,adam,-0.8110773218786849
16,10,relu,0.25,adam,-0.8122748743969554
32,10,selu,0.1,rmsprop,-0.8134122429963372
32,10,relu,0.1,rmsprop,-0.8141773359255708
16,10,relu,0.15,adam,-0.8175353091867126
32,10,elu,0.2,rmsprop,-0.8179050724204977
32,10,relu,0.25,adam,-0.8179112234867656
16,10,relu,0.05,adamax,-0.8182767562167153
32,10,elu,0.15,adam,-0.8186124163393949
32,10,selu,0.25,adam,-0.819315430220841
32,10,selu,0.2,adam,-0.8230597007892293
16,10,elu,0.05,adamax,-0.826345652310794
