activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
relu,16,0.25,2000,10,adam,0,-0.09357306361198425
softplus,16,0.25,2000,10,adam,0,-0.09361368417739868
sigmoid,16,0.25,2000,10,rmsprop,0,-0.09363443404436111
elu,64,0.2,2000,10,sgd,0,-0.09370255097746849
selu,64,0.05,2000,10,adamax,0,-0.09372426196932793
softplus,4,0.2,2000,10,adam,0,-0.09381319209933281
relu,64,0.2,2000,10,adamax,0,-0.09384262561798096
sigmoid,64,0.2,2000,10,rmsprop,0,-0.09385192394256592
sigmoid,8,0.05,2000,10,adamax,0,-0.09394613280892372
softplus,32,0.2,2000,10,rmsprop,0,-0.09396564215421677
tanh,64,0.25,2000,10,sgd,0,-0.09397121146321297
sigmoid,16,0.1,2000,10,adam,0,-0.09397547319531441
sigmoid,8,0.15,2000,10,adamax,0,-0.09398578852415085
sigmoid,32,0.1,2000,10,rmsprop,0,-0.09409213811159134
elu,64,0.1,2000,10,adamax,0,-0.09411520138382912
softplus,8,0.1,2000,10,adamax,0,-0.09411685168743134
softplus,8,0.05,2000,10,adamax,0,-0.09412408620119095
softplus,32,0.05,2000,10,adam,0,-0.09414852038025856
softplus,4,0.2,2000,10,adamax,0,-0.094156663864851
tanh,4,0.15,2000,10,rmsprop,0,-0.09420452266931534
softplus,64,0.15,2000,10,rmsprop,0,-0.09424424171447754
sigmoid,16,0.25,2000,10,adam,0,-0.09428471699357033
sigmoid,64,0.15,2000,10,rmsprop,0,-0.09431036189198494
sigmoid,16,0.15,2000,10,adam,0,-0.09442716091871262
elu,64,0.2,2000,10,adamax,0,-0.09443219751119614
sigmoid,16,0.15,2000,10,adamax,0,-0.09449060633778572
sigmoid,8,0.2,2000,10,adamax,0,-0.09453845769166946
relu,16,0.15,2000,10,adamax,0,-0.09455955028533936
sigmoid,32,0.1,2000,10,adam,0,-0.09457384422421455
softplus,32,0.1,2000,10,rmsprop,0,-0.09458613395690918
sigmoid,16,0.25,2000,10,adamax,0,-0.0945940725505352
elu,64,0.15,2000,10,adamax,0,-0.09467723220586777
softplus,16,0.25,2000,10,rmsprop,0,-0.09469844400882721
relu,16,0.1,2000,10,sgd,0,-0.09471096470952034
softplus,32,0.05,2000,10,rmsprop,0,-0.0947570651769638
elu,4,0.25,2000,10,rmsprop,0,-0.09489203989505768
relu,32,0.15,2000,10,sgd,0,-0.0949583612382412
relu,32,0.2,2000,10,sgd,0,-0.09503021463751793
sigmoid,32,0.05,2000,10,rmsprop,0,-0.09510420635342598
softplus,16,0.1,2000,10,adamax,0,-0.09517962858080864
softplus,4,0.15,2000,10,adam,0,-0.0953146256506443
sigmoid,32,0.25,2000,10,rmsprop,0,-0.09534288197755814
sigmoid,64,0.25,2000,10,rmsprop,0,-0.09536054357886314
selu,64,0.1,2000,10,adamax,0,-0.09543067589402199
sigmoid,4,0.05,2000,10,sgd,0,-0.09543290734291077
sigmoid,16,0.2,2000,10,adamax,0,-0.09543626382946968
relu,16,0.1,2000,10,adamax,0,-0.09546266868710518
